1,corn cheese sandwich,1
2,chilli sandwich,1
3,mushroom sandwich,1
4,chicken corn sandwich,1
5,paneer corn sandwich,1
6,mushroom corn sandwich,1
7,chicken lollipop biriyani,1
8,chicken biriyani,1
9,mutton biriyani,1
10,bbq chicken pizza,2
11,chicken pesto pizza,2
12,paneer pizza,2
13,corn pizza,2
14,capsicum pizza,2
15,corn pizza,3
16,capsicum pizza,3
17,chicken extravaganza pizza,3
18,veg farmhouse pizza,3
19,chicken dominator pizza,3
20,tomato pizza,3
21,mushroom pizza,3
22,chicken corn pizza,3
23,paneer corn pizza,3
24,mushroom corn pizza,3
25,chicken burger,3
26,chicken filllet burger,3
27,chicken bbq burger,3
28,chicken strip burger,3
29,paneer sandwich,4
30,capsicum corn sandwich,4
31,corn cheese sandwich,4
32,chilli sandwich,4
33,mushroom sandwich,4
34,chicken corn sandwich,4
35,paneer corn sandwich,4
36,mushroom corn sandwich,4
37,chicken lollipop biriyani,4
38,chicken biriyani,4
39,mutton biriyani,4
40,capsicum pizza,5
41,chicken extravaganza pizza,5
42,veg farmhouse pizza,5
43,chicken dominator pizza,5
44,tomato pizza,5
45,chicken sandwich,6
46,paneer sandwich,6
47,capsicum corn sandwich,6
48,corn cheese sandwich,6
49,chilli sandwich,6
50,veggie burger,7
51,aloo tikki burger,7
52,lamb burger,7
53,paneer burger,7
54,capsicum corn burger,7
55,corn cheese burger,7
56,chicken sandwich,7
57,paneer sandwich,7
58,capsicum pizza,8
59,chicken extravaganza pizza,8
60,veg farmhouse pizza,8
61,chicken dominator pizza,8
62,tomato pizza,8
63,margaritha pizza,9
64,pepperoni pizza,9
65,bbq chicken pizza,9
66,chicken pesto pizza,9
67,paneer pizza,9
68,corn pizza,9
69,capsicum pizza,9
70,chicken extravaganza pizza,9
71,veg farmhouse pizza,9
72,chicken dominator pizza,9
73,tomato pizza,9
74,mushroom pizza,9
75,chicken corn pizza,9
76,paneer corn pizza,9
77,mushroom corn pizza,9
78,chicken burger,9
79,chicken filllet burger,9
80,capsicum pizza,10
81,chicken extravaganza pizza,10
82,veg farmhouse pizza,10
83,chicken dominator pizza,10
84,tomato pizza,10
85,mushroom pizza,10
86,chicken corn pizza,10
87,paneer corn pizza,10
88,mushroom corn pizza,10
89,chicken burger,10
90,chicken filllet burger,10
91,chicken bbq burger,10
92,chicken strip burger,10
93,veggie burger,11
94,aloo tikki burger,11
95,lamb burger,11
96,paneer burger,11
97,capsicum corn burger,11
98,capsicum corn sandwich,12
99,corn cheese sandwich,12
100,chilli sandwich,12
101,mushroom sandwich,12
102,chicken corn sandwich,12
103,paneer corn sandwich,12
104,mushroom corn sandwich,12
105,chicken lollipop biriyani,12
106,margaritha pizza,13
107,pepperoni pizza,13
108,bbq chicken pizza,13
109,chicken pesto pizza,13
110,paneer pizza,13
111,veggie burger,14
112,aloo tikki burger,14
113,lamb burger,14
114,paneer burger,14
115,capsicum corn burger,14
116,corn cheese burger,14
117,chicken sandwich,14
118,paneer sandwich,14
119,capsicum corn sandwich,14
120,corn cheese sandwich,14
121,chilli sandwich,14
122,mushroom sandwich,14
123,chicken corn sandwich,14
124,paneer corn sandwich,14
125,mushroom corn sandwich,14
126,chicken extravaganza pizza,15
127,veg farmhouse pizza,15
128,chicken dominator pizza,15
129,tomato pizza,15
130,mushroom pizza,15
131,chicken corn pizza,15
132,paneer corn pizza,15
133,mushroom corn pizza,15
134,chicken burger,15
135,chicken filllet burger,15
136,chicken bbq burger,15
137,chicken strip burger,15
138,veggie burger,15
139,aloo tikki burger,15
140,lamb burger,15
141,paneer corn pizza,16
142,mushroom corn pizza,16
143,chicken burger,16
144,chicken filllet burger,16
145,chicken bbq burger,16
146,margaritha pizza,17
147,pepperoni pizza,17
148,bbq chicken pizza,17
149,chicken pesto pizza,17
150,paneer pizza,17
151,corn pizza,17
152,capsicum pizza,17
153,chicken extravaganza pizza,17
154,veg farmhouse pizza,17
155,chicken dominator pizza,17
156,tomato pizza,17
157,mushroom pizza,17
158,chicken corn pizza,17
159,paneer corn pizza,17
160,mushroom corn pizza,17
161,chicken burger,17
162,chicken filllet burger,17
163,chicken bbq burger,17
164,chicken strip burger,17
165,lamb burger,18
166,paneer burger,18
167,capsicum corn burger,18
168,corn cheese burger,18
169,chicken sandwich,18
170,paneer sandwich,18
171,capsicum corn sandwich,18
172,corn cheese sandwich,18
173,chilli sandwich,18
174,mushroom sandwich,18
175,chicken corn sandwich,18
176,paneer corn sandwich,18
177,veggie burger,19
178,aloo tikki burger,19
179,lamb burger,19
180,paneer burger,19
181,capsicum corn burger,19
182,corn cheese burger,19
183,chicken sandwich,19
184,paneer sandwich,19
185,capsicum corn sandwich,19
186,corn cheese sandwich,19
187,chilli sandwich,19
188,chicken pesto pizza,20
189,paneer pizza,20
190,corn pizza,20
191,capsicum pizza,20
192,chicken extravaganza pizza,20
193,veg farmhouse pizza,20
194,chicken dominator pizza,20
195,tomato pizza,20
196,mushroom pizza,20
197,chicken corn pizza,20
198,paneer corn pizza,20
199,mushroom corn pizza,20
200,chicken burger,20
201,chicken dominator pizza,21
202,tomato pizza,21
203,mushroom pizza,21
204,chicken corn pizza,21
205,paneer corn pizza,21
206,mushroom corn pizza,21
207,chicken burger,21
208,chicken filllet burger,21
209,chicken bbq burger,21
210,corn pizza,22
211,capsicum pizza,22
212,chicken extravaganza pizza,22
213,veg farmhouse pizza,22
214,chicken dominator pizza,22
215,capsicum corn burger,23
216,corn cheese burger,23
217,chicken sandwich,23
218,paneer sandwich,23
219,capsicum corn sandwich,23
220,corn cheese sandwich,23
221,chilli sandwich,23
222,tomato pizza,24
223,mushroom pizza,24
224,chicken corn pizza,24
225,paneer corn pizza,24
226,mushroom corn pizza,24
227,chicken burger,24
228,chicken filllet burger,24
229,chicken bbq burger,24
230,chicken strip burger,24
231,veggie burger,24
232,aloo tikki burger,24
233,lamb burger,24
234,capsicum corn burger,25
235,corn cheese burger,25
236,chicken sandwich,25
237,paneer sandwich,25
238,capsicum corn sandwich,25
239,capsicum corn sandwich,26
240,corn cheese sandwich,26
241,chilli sandwich,26
242,mushroom sandwich,26
243,chicken corn sandwich,26
244,chilli sandwich,27
245,mushroom sandwich,27
246,chicken corn sandwich,27
247,paneer corn sandwich,27
248,mushroom corn sandwich,27
249,chicken lollipop biriyani,27
250,chicken biriyani,27
251,mutton biriyani,27
252,chocolate milkshake,27
253,vanilla milkshake,27
254,sweet lassi,27
255,strawberry lassi,27
256,chocolate mouse,27
257,gulab jamun,27
258,coke,27
259,mushroom pizza,28
260,chicken corn pizza,28
261,paneer corn pizza,28
262,mushroom corn pizza,28
263,chicken burger,28
264,capsicum pizza,29
265,chicken extravaganza pizza,29
266,veg farmhouse pizza,29
267,chicken dominator pizza,29
268,tomato pizza,29
269,mushroom pizza,29
270,chicken corn pizza,29
271,paneer corn pizza,29
272,mushroom corn pizza,29
273,chicken burger,29
274,chicken filllet burger,29
275,chicken bbq burger,29
276,chicken strip burger,29
277,chicken filllet burger,30
278,chicken bbq burger,30
279,chicken strip burger,30
280,veggie burger,30
281,aloo tikki burger,30
282,lamb burger,30
283,paneer burger,30
284,capsicum corn burger,30
285,corn cheese burger,30
286,chicken sandwich,30
287,paneer sandwich,30
288,capsicum corn sandwich,30
289,corn cheese sandwich,30
290,chilli sandwich,30
291,veggie burger,31
292,aloo tikki burger,31
293,lamb burger,31
294,paneer burger,31
295,capsicum corn burger,31
296,corn cheese burger,31
297,chicken sandwich,31
298,paneer sandwich,31
299,capsicum corn sandwich,31
300,corn cheese sandwich,31
301,chilli sandwich,31
302,mushroom sandwich,31
303,chicken corn sandwich,31
304,paneer corn sandwich,31
305,mushroom corn sandwich,31
306,chicken lollipop biriyani,31
307,chicken biriyani,31
308,paneer pizza,32
309,corn pizza,32
310,capsicum pizza,32
311,chicken extravaganza pizza,32
312,veg farmhouse pizza,32
313,chicken dominator pizza,32
314,tomato pizza,32
315,mushroom pizza,32
316,chicken corn pizza,32
317,paneer corn pizza,32
318,mushroom corn pizza,32
319,chicken burger,32
320,chicken filllet burger,32
321,chicken bbq burger,32
322,chicken strip burger,32
323,veggie burger,32
324,veg farmhouse pizza,33
325,chicken dominator pizza,33
326,tomato pizza,33
327,mushroom pizza,33
328,chicken corn pizza,33
329,paneer corn pizza,33
330,chicken pesto pizza,34
331,paneer pizza,34
332,corn pizza,34
333,capsicum pizza,34
334,chicken extravaganza pizza,34
335,veg farmhouse pizza,34
336,chicken dominator pizza,34
337,tomato pizza,34
338,mushroom pizza,34
339,chicken corn pizza,34
340,paneer corn pizza,34
341,mushroom corn pizza,34
342,chicken burger,34
